icao,tail,plane,tail_prefix,Country or region
151fdc,RA-73692,Airbus A320-214,RA,Russia
151e68,RA-73320,Airbus A320-232CJ Prestige,RA,Russia
151f16,RA-73494,Boeing 737-8KN,RA,Russia
14f11f,RA-61727,Antonov An-148-100E,RA,Russia
150661,RA-67169,Canadair CL-600-2B16 Challenger 650,RA,Russia
151d7a,RA-73082,Boeing 767-224,RA,Russia
152060,RA-73824,Airbus A320-214,RA,Russia
151ec6,RA-73414,Airbus A321-211,RA,Russia
151d95,RA-73109,Boeing 737-800WL,RA,Russia
151ed1,RA-73425,Airbus A320-271N,RA,Russia
154ca3,RA-85155,Tupolev Tu-154M,RA,Russia
151ffc,RA-73724,Airbus A321-211,RA,Russia
151ff8,RA-73720,Airbus A321-211,RA,Russia
155c37,RA-89143,Sukhoi SuperJet 100-95B,RA,Russia
151e4c,RA-73292,Boeing 777-312,RA,Russia
1418d8,RA-06360,Robinson R66,RA,Russia
152040,RA-73792,Airbus A321-211,RA,Russia
141ea6,RA-07846,SOCATA TBM 910,RA,Russia
155c60,RA-89184,Sukhoi SuperJet 100-95B,RA,Russia
151f36,RA-73526,Bombardier BD-700-1A10 Global 6000,RA,Russia
150641,RA-67137,Bombardier BD-100-1A10 Challenger 350,RA,Russia
151e1d,RA-73245,Boeing 737-800WL,RA,Russia
151e09,RA-73225,Boeing 737-800WL,RA,Russia
151dd5,RA-73173,Airbus A320-214,RA,Russia
155bca,RA-89034,Sukhoi SuperJet 100-95-LR,RA,Russia
152a4b,RA-76363,Ilyushin Il-76TD,RA,Russia
151fbb,RA-73659,Boeing 737-89P,RA,Russia
151fb9,RA-73657,Boeing 737-8JP,RA,Russia
151e0b,RA-73227,Boeing 737-800WL,RA,Russia
150657,RA-67159,Canadair CL-600-2B19 Regional Jet CRJ-200ER,RA,Russia
151da2,RA-73122,Boeing 737-8LJ,RA,Russia
1500c5,RA-65733,Tupolev Tu-134B-3,RA,Russia
157716,RA-96022,Ilyushin Il-96-300PU(M1),RA,Russia
152001,RA-73729,Airbus A321-211,RA,Russia
151ee7,RA-73447,Boeing 737-83N,RA,Russia
155c21,RA-89121,Sukhoi SuperJet 100-95B,RA,Russia
142328,RA-09000,Dassault Falcon 900B,RA,Russia
151e5e,RA-73310,Airbus A321-231,RA,Russia
142580,RA-09600,Dassault Falcon 900EX,RA,Russia
151d8d,RA-73101,Boeing 737-800WL,RA,Russia
151dfb,RA-73211,Boeing 737-800WL,RA,Russia
150694,RA-67220,Canadair CL-600-2B19 Challenger 850,RA,Russia
15207a,RA-73850,Airbus A330-302,RA,Russia
14fa0a,RA-64010,Tupolev Tu-204,RA,Russia
155c0f,RA-89103,Sukhoi SuperJet 100-95B,RA,Russia
151e72,RA-73330,Boeing 777-21HER,RA,Russia
151dce,RA-73166,Airbus A321-211,RA,Russia
15202f,RA-73775,Airbus A320-214,RA,Russia
155bd1,RA-89041,Sukhoi SuperJet 100-95B,RA,Russia
15063a,RA-67130,Bombardier BD-100-1A10 Challenger 350,RA,Russia
151e64,RA-73316,Boeing 737-82R,RA,Russia
151db8,RA-73144,Boeing 777-3M0ER,RA,Russia
151dbc,RA-73148,Boeing 777-3M0ER,RA,Russia
155be7,RA-89063,Sukhoi SuperJet 100-95B,RA,Russia
151d76,RA-73078,Boeing 767-3Q8ER,RA,Russia
151e33,RA-73267,Boeing 737-7CT,RA,Russia
151d9b,RA-73115,Boeing 737-8LJ,RA,Russia
151ec1,RA-73409,Boeing 737-83N,RA,Russia
152067,RA-73831,Airbus A320-214,RA,Russia
151d92,RA-73106,Boeing 737-800WL,RA,Russia
151e38,RA-73272,Boeing 777-2Q8ER,RA,Russia
151e3c,RA-73276,Boeing 777-31HER,RA,Russia
151f11,RA-73489,Boeing 737-83N,RA,Russia
151d7f,RA-73087,Boeing 737-8AS,RA,Russia
143d17,RA-07447,Robinson R66 Turbine,RA,Russia
151fdd,RA-73693,Airbus A321-211,RA,Russia
152030,RA-73776,Airbus A320-214,RA,Russia
151ef6,RA-73462,Airbus A320-271N,RA,Russia
151db3,RA-73139,Boeing 777-3M0ER,RA,Russia
151e6d,RA-73325,Airbus A321-232,RA,Russia
155c10,RA-89104,Sukhoi SuperJet 100-95B,RA,Russia
