icao,tail,plane,tail_prefix,Country or region
151e0f,RA-73231,Boeing 737-800WL,RA,Russia
151dd1,RA-73169,Airbus A320-214,RA,Russia
142382,RA-09090,Dassault Falcon 7X,RA,Russia
155c64,RA-89188,Sukhoi SuperJet 100-95B,RA,Russia
152044,RA-73796,Airbus A321-211,RA,Russia
155bbc,RA-89020,Sukhoi SuperJet 100-95B,RA,Russia
14fa34,RA-64052,Tupolev Tu-204-120C,RA,Russia
155c33,RA-89139,Sukhoi SuperJet 100-95B,RA,Russia
151ed5,RA-73429,Airbus A320-271N,RA,Russia
152013,RA-73747,Airbus A320-214,RA,Russia
152064,RA-73828,Airbus A320-214,RA,Russia
151ec2,RA-73410,Boeing 737-8GJ,RA,Russia
155c44,RA-89156,Sukhoi SuperJet 100-95B,RA,Russia
151d7e,RA-73086,Boeing 737-8AS,RA,Russia
151f12,RA-73490,Airbus A321-211,RA,Russia
14f11b,RA-61723,Antonov An-148-100A,RA,Russia
151db0,RA-73136,Boeing 777-3M0ER,RA,Russia
151ef5,RA-73461,Airbus A320-271N,RA,Russia
155bed,RA-89069,Sukhoi SuperJet 100-95LR,RA,Russia
152033,RA-73779,Airbus A320-214,RA,Russia
151dc6,RA-73158,Boeing 777-300ER,RA,Russia
152025,RA-73765,Airbus A320-214,RA,Russia
151fea,RA-73706,Airbus A321-211,RA,Russia
155bdb,RA-89051,Sukhoi SuperJet 100-95B,RA,Russia
155bd9,RA-89049,Sukhoi SuperJet 100-95LR,RA,Russia
155c05,RA-89093,Sukhoi SuperJet 100-95LR,RA,Russia
140b2e,RA-02862,Embraer 170-100SU,RA,Russia
151f53,RA-73555,Bombardier BD-700-1A10 Global 6000,RA,Russia
140aeb,RA-02795,Embraer ERJ 135BJ Legacy 600,RA,Russia
1407cd,RA-01997,AgustaWestland AW139,RA,Russia
151df1,RA-73201,Airbus A319-111,RA,Russia
151d87,RA-73095,Boeing 737-8LJ,RA,Russia
152072,RA-73842,Airbus A321-231,RA,Russia
14258c,RA-09612,Dassault Falcon 8X,RA,Russia
151e2f,RA-73263,Boeing 737-76N,RA,Russia
140ae9,RA-02793,Raytheon Hawker 800XP,RA,Russia
155c2b,RA-89131,Sukhoi SuperJet 100-95B,RA,Russia
151e56,RA-73302,Boeing 737-800WL,RA,Russia
151daa,RA-73130,Boeing 777-3M0ER,RA,Russia
151eed,RA-73453,Airbus A320-271N,RA,Russia
155c29,RA-89129,Sukhoi SuperJet 100-95B,RA,Russia
155bf5,RA-89077,Sukhoi SuperJet 100-95LR,RA,Russia
151d44,RA-73028,Airbus A321-251NX,RA,Russia
151e01,RA-73217,Airbus A320-214,RA,Russia
151ddf,RA-73183,Airbus A320-214,RA,Russia
155bc2,RA-89026,Sukhoi SuperJet 100-95B,RA,Russia
ab6383,RA-07841,Cirrus SR22,RA,Russia
15205e,RA-73822,Airbus A320-251N,RA,Russia
151d52,RA-73042,Boeing 737-524,RA,Russia
155c6c,RA-89196,Sukhoi SuperJet 100-95LR,RA,Russia
152048,RA-73800,Airbus A321-251NX,RA,Russia
141e17,RA-07703,AgustaWestland AW139,RA,Russia
151e17,RA-73239,Boeing 737-800WL,RA,Russia
15064b,RA-67147,Bombardier Challenger 605,RA,Russia
15009a,RA-65690,Tupolev Tu-134AK,RA,Russia
151fc7,RA-73671,Boeing 737-8LP,RA,Russia
15204c,RA-73804,Airbus A320-214,RA,Russia
155c3d,RA-89149,Sukhoi SuperJet 100-95B,RA,Russia
151ed9,RA-73433,Airbus A320-271N,RA,Russia
1506a7,RA-67239,Canadair CL-600-2B19 Regional Jet CRJ-200ER,RA,Russia
151edb,RA-73435,Airbus A320-271N,RA,Russia
15201d,RA-73757,Airbus A320-214,RA,Russia
151ff0,RA-73712,Airbus A321-211,RA,Russia
152014,RA-73748,Airbus A320-214,RA,Russia
151ed2,RA-73426,Airbus A320-271N,RA,Russia
14fa33,RA-64051,Tupolev Tu-204-120C,RA,Russia
155c34,RA-89140,Sukhoi SuperJet 100-95B,RA,Russia
151d59,RA-73049,Boeing 737-524,RA,Russia
152043,RA-73795,Airbus A321-211,RA,Russia
14fc08,RA-64520,Tupolev Tu-214PU,RA,Russia
151de0,RA-73184,Boeing 737-85R,RA,Russia
141d5b,RA-07515,Eurocopter AS350 B3e Ecureuil,RA,Russia
155c63,RA-89187,Sukhoi SuperJet 100-95B,RA,Russia
152055,RA-73813,Airbus A320-232,RA,Russia
151fba,RA-73658,Boeing 737-8Q8,RA,Russia
151e0a,RA-73226,Boeing 737-800WL,RA,Russia
150654,RA-67156,Canadair CL-600-2B19 Regional Jet CRJ-200ER,RA,Russia
155bc9,RA-89033,Sukhoi SuperJet 100-95LR,RA,Russia
152002,RA-73730,Airbus A320-251N,RA,Russia
157715,RA-96021,Ilyushin Il-96-300PU(M1),RA,Russia
151da1,RA-73121,Boeing 737-8LJ,RA,Russia
155c22,RA-89122,Sukhoi SuperJet 100-95B,RA,Russia
142afd,RA-11005,Gulfstream Aerospace GVI (G650ER),RA,Russia
151e26,RA-73254,Boeing 737-8AS,RA,Russia
155c5b,RA-89179,Sukhoi SuperJet 100-95B,RA,Russia
43be90,RA-73154,Airbus A350-941,RA,Russia
152079,RA-73849,Airbus A330-302,RA,Russia
151ebd,RA-73405,Airbus A320-214,RA,Russia
151dfa,RA-73210,Airbus A319-114,RA,Russia
140ae2,RA-02786,Embraer ERJ 135BJ Legacy 600,RA,Russia
151e71,RA-73329,Boeing 777-21HER,RA,Russia
1427ee,RA-10222,Gulfstream Aerospace GV-SP (G550),RA,Russia
155c0e,RA-89102,Sukhoi SuperJet 100-95B,RA,Russia
15202e,RA-73774,Airbus A320-214,RA,Russia
151fe1,RA-73697,Boeing 777-300ER,RA,Russia
151dcf,RA-73167,Airbus A320-214,RA,Russia
1427dc,RA-10204,Gulfstream G650,RA,Russia
151f4e,RA-73550,Bombardier BD-700-1A10 Global 6000,RA,Russia
15063b,RA-67131,Bombardier BD-700-1A11 Global 5000,RA,Russia
151e67,RA-73319,Boeing 737-800WL,RA,Russia
155c1c,RA-89116,Sukhoi SuperJet 100-95B,RA,Russia
151e88,RA-73352,Boeing 757-223SF,RA,Russia
152038,RA-73784,Airbus A330-343E,RA,Russia
15203c,RA-73788,Airbus A330-343E,RA,Russia
155c18,RA-89112,Sukhoi SuperJet 100-95B,RA,Russia
155be4,RA-89060,Sukhoi SuperJet 100-95B,RA,Russia
151e30,RA-73264,Boeing 737-86N,RA,Russia
14a5ac,RA-42412,Yakovlev Yak-42D,RA,Russia
151d75,RA-73077,Boeing 757-2Q8,RA,Russia
151ecb,RA-73419,Airbus A320-214,RA,Russia
151f19,RA-73497,Boeing 737-8BK,RA,Russia
140ad4,RA-02772,British Aerospace BAe-125 Series 800A,RA,Russia
151d9a,RA-73114,Boeing 737-8LJ,RA,Russia
151ff7,RA-73719,Airbus A321-211,RA,Russia
15201c,RA-73756,Airbus A320-214,RA,Russia
155c38,RA-89144,Sukhoi SuperJet 100-95B,RA,Russia
1506a0,RA-67232,Canadair CL-600-2B19 Challenger 850,RA,Russia
151ede,RA-73438,Airbus A321-211,RA,Russia
152018,RA-73752,Airbus A320-214,RA,Russia
151f39,RA-73529,Bombardier BD-700-1A10 Global Express XRS,RA,Russia
1551e0,RA-86496,Ilyushin Il-62M,RA,Russia
15204d,RA-73805,Airbus A320-214,RA,Russia
151fc0,RA-73664,Boeing 737-8ZS,RA,Russia
151e10,RA-73232,Boeing 737-800WL,RA,Russia
14fc04,RA-64516,Tupolev Tu-214SR,RA,Russia
150658,RA-67160,Bombardier BD-700-1A10 Global 6000,RA,Russia
151dda,RA-73178,Airbus A321-211,RA,Russia
14169a,RA-05786,Robinson R66 Turbine,RA,Russia
152c2a,RA-76842,Ilyushin Il-76TD,RA,Russia
151fb6,RA-73654,Boeing 737-86N,RA,Russia
15205b,RA-73819,Airbus A320-214,RA,Russia
155bc5,RA-89029,Sukhoi SuperJet 100-95LR,RA,Russia
151d43,RA-73027,Airbus A321-251NX,RA,Russia
152059,RA-73817,Airbus A320-232,RA,Russia
141d43,RA-07491,Eurocopter EC130 T2,RA,Russia
14fc12,RA-64530,Tupolev Tu-214,RA,Russia
14f124,RA-61732,Antonov An-148-100E,RA,Russia
151daf,RA-73135,Boeing 777-3M0ER,RA,Russia
151eec,RA-73452,Airbus A320-271N,RA,Russia
155c2e,RA-89134,Sukhoi SuperJet 100-95B,RA,Russia
151e51,RA-73297,Boeing 737-8LJ,RA,Russia
157719,RA-96025,Ilyushin Il-96-300PU(M1),RA,Russia
151d6d,RA-73069,Boeing 737-45S,RA,Russia
151e2a,RA-73258,Boeing 737-8K5,RA,Russia
151d80,RA-73088,Boeing 737-8GU,RA,Russia
152075,RA-73845,Airbus A321-231,RA,Russia
15521f,RA-86559,Ilyushin Il-62M,RA,Russia
151d3c,RA-73532,Canadair CL-600-2B19 Challenger 850,RA,Russia
151e7f,RA-73343,Boeing 737-9GPER,RA,Russia
155bde,RA-89054,Sukhoi SuperJet 100-95LR,RA,Russia
151fef,RA-73711,Airbus A321-231,RA,Russia
152022,RA-73762,Airbus A320-214,RA,Russia
155be8,RA-89064,Sukhoi SuperJet 100-95B,RA,Russia
155c14,RA-89108,Sukhoi SuperJet 100-95B,RA,Russia
151db7,RA-73143,Boeing 777-3M0ER,RA,Russia
152034,RA-73780,Airbus A320-214,RA,Russia
151ef2,RA-73458,Airbus A320-271N,RA,Russia
154e52,RA-85586,Tupolev Tu-154B-2,RA,Russia
155c43,RA-89155,Sukhoi SuperJet 100-95B,RA,Russia
151d7b,RA-73083,Boeing 767-224ER,RA,Russia
151f15,RA-73493,Boeing 737-8KN,RA,Russia
151d96,RA-73110,Boeing 737-800WL,RA,Russia
151ec5,RA-73413,Airbus A321-211,RA,Russia
15068f,RA-67215,Bombardier BD-700-1A10 Global Express XRS,RA,Russia
152063,RA-73827,Airbus A320-214,RA,Russia
151d97,RA-73111,Boeing 737-800WL,RA,Russia
151d78,RA-73080,Boeing 767-3Y0ER,RA,Russia
152062,RA-73826,Airbus A320-214,RA,Russia
155c42,RA-89154,Sukhoi SuperJet 100-95B,RA,Russia
151d7c,RA-73084,Boeing 737-8AS,RA,Russia
151e3f,RA-73279,Boeing 777-312,RA,Russia
151f14,RA-73492,Airbus A320-271N,RA,Russia
151db6,RA-73142,Boeing 777-3M0ER,RA,Russia
140aae,RA-02734,Raytheon Hawker 800XP,RA,Russia
152035,RA-73781,Airbus A320-214,RA,Russia
151ef3,RA-73459,Airbus A320-271N,RA,Russia
155beb,RA-89067,Sukhoi SuperJet 100-95LR,RA,Russia
155c15,RA-89109,Sukhoi SuperJet 100-95B,RA,Russia
155be9,RA-89065,Sukhoi SuperJet 100-95B,RA,Russia
151e6a,RA-73322,Airbus A321-251N,RA,Russia
155bdd,RA-89053,Sukhoi Superjet 100-95B,RA,Russia
152023,RA-73763,Airbus A320-214,RA,Russia
151df7,RA-73207,Airbus A320-214,RA,Russia
151d81,RA-73089,Boeing 737-8GU,RA,Russia
42446c,RA-73155,Airbus A350-941,RA,Russia
152c07,RA-76807,Ilyushin Il-76TD,RA,Russia
152074,RA-73844,Airbus A321-231,RA,Russia
15069a,RA-67226,Bombardier Global 5000,RA,Russia
14fa2c,RA-64044,Tupolev Tu-204-300,RA,Russia
151ee9,RA-73449,Airbus A320-271N,RA,Russia
155c2d,RA-89133,Sukhoi SuperJet 100-95B,RA,Russia
151e50,RA-73296,Boeing 737-81D,RA,Russia
1416ba,RA-05818,Robinson R66 Turbine,RA,Russia
140ab4,RA-02740,Embraer 190-100LR,RA,Russia
151eeb,RA-73451,Airbus A320-271N,RA,Russia
152058,RA-73816,Airbus A319-112,RA,Russia
14fc13,RA-64531,Tupolev Tu-214PU-SBUS,RA,Russia
14f125,RA-61733,Antonov An-148-100E,RA,Russia
151fb7,RA-73655,Boeing 737-8AL,RA,Russia
15205c,RA-73820,Airbus A320-251N,RA,Russia
151d54,RA-73044,Boeing 737-524,RA,Russia
151f3c,RA-73532,Canadair CL-600-2B19 Challenger 850,RA,Russia
151f38,RA-73528,Bombardier BD-700-1A10 Global 6000,RA,Russia
151fc1,RA-73665,Boeing 737-8ZS,RA,Russia
152019,RA-73753,Airbus A320-214,RA,Russia
1520a0,RA-73888,Airbus A318-112CJ Elite,RA,Russia
15770e,RA-96014,Ilyushin Il-96-300,RA,Russia
151ff6,RA-73718,Airbus A321-211,RA,Russia
15201b,RA-73755,Airbus A320-214,RA,Russia
142330,RA-09008,Dassault Falcon 900EX EASy,RA,Russia
151f80,RA-73600,Canadair CL-600-2B19 Challenger 850,RA,Russia
1506a1,RA-67233,Canadair CL-600-2B19 Challenger 850,RA,Russia
155c39,RA-89145,Sukhoi SuperJet 100-95B,RA,Russia
151edd,RA-73437,Airbus A321-211,RA,Russia
151ecc,RA-73420,Airbus A320-214,RA,Russia
15206e,RA-73838,Airbus A321-251NX,RA,Russia
151f18,RA-73496,Boeing 737-8S3,RA,Russia
151e31,RA-73265,Boeing 737-86N,RA,Russia
1533f3,RA-78835,Ilyushin Il-76MD,RA,Russia
151ec8,RA-73416,Airbus A321-211,RA,Russia
151d74,RA-73076,Boeing 757-28A,RA,Russia
15203b,RA-73787,Airbus A330-343E,RA,Russia
151e8b,RA-73355,Boeing 757-223SF,RA,Russia
155be5,RA-89061,Sukhoi SuperJet 100-95B,RA,Russia
155c19,RA-89113,Sukhoi SuperJet 100-95B,RA,Russia
151dba,RA-73146,Boeing 777-300ER,RA,Russia
1427d9,RA-10201,Gulfstream Aerospace G-IV-SP,RA,Russia
152039,RA-73785,Airbus A330-343E,RA,Russia
155bd3,RA-89043,Sukhoi SuperJet 100-95B,RA,Russia
15202d,RA-73773,Airbus A320-214,RA,Russia
151e70,RA-73328,Airbus A330-223,RA,Russia
155c0d,RA-89101,Sukhoi SuperJet 100-95B,RA,Russia
141ebe,RA-07870,Pilatus PC-12/47E,RA,Russia
151ebe,RA-73406,Airbus A320-214,RA,Russia
151d8f,RA-73103,Boeing 737-800WL,RA,Russia
151e27,RA-73255,Boeing 737-8AS,RA,Russia
155c5c,RA-89180,Sukhoi SuperJet 100-95B,RA,Russia
142582,RA-09602,Dassault Falcon 7X,RA,Russia
155c23,RA-89123,Sukhoi SuperJet 100-95B,RA,Russia
155bfd,RA-89085,Sukhoi SuperJet 100-95LR,RA,Russia
140abc,RA-02748,Embraer ERJ 135BJ Legacy 650,RA,Russia
151da0,RA-73120,Boeing 737-800WL,RA,Russia
151d4e,RA-73038,Boeing 737-524,RA,Russia
155bc8,RA-89032,Sukhoi SuperJet 100-95B,RA,Russia
152054,RA-73812,Airbus A320-214,RA,Russia
155bcc,RA-89036,Sukhoi SuperJet 100-95LR,RA,Russia
150643,RA-67139,Canadair CL-600-2B19 Regional Jet CRJ-200ER,RA,Russia
151e1f,RA-73247,Boeing 737-800WL,RA,Russia
14fc0b,RA-64523,Tupolev Tu-214VPU,RA,Russia
155c62,RA-89186,Sukhoi SuperJet 100-95B,RA,Russia
152042,RA-73794,Airbus A321-211,RA,Russia
14fc09,RA-64521,Tupolev Tu-214PU,RA,Russia
151de1,RA-73185,Boeing 737-8KN,RA,Russia
155c35,RA-89141,Sukhoi SuperJet 100-95B,RA,Russia
152015,RA-73749,Airbus A320-214,RA,Russia
151ffa,RA-73722,Airbus A321-211,RA,Russia
151ed3,RA-73427,Airbus A320-271N,RA,Russia
738057,4X-EHI,Boeing 737-958ER,4X,Israel
738056,4X-EHH,Boeing 737-958ER,4X,Israel
738072,4X-ECB,Boeing 777-258ER,4X,Israel
738055,4X-EHF,Boeing 737-958ER,4X,Israel
896411,A6-AOE,Airbus A320-214,A6,United Arab Emirates
896539,A6-BNB,Boeing 787-9,A6,United Arab Emirates
8965b6,A6-FMZ,Boeing 737-8,A6,United Arab Emirates
8963ff,A6-AOC,Airbus A320-214,A6,United Arab Emirates
8964d3,A6-FMD,Boeing 737-8,A6,United Arab Emirates
896333,A6-FEB,Boeing 737-8KN,A6,United Arab Emirates
896489,A6-BLI,Boeing 787-9,A6,United Arab Emirates
8965fa,A6-AUG,Airbus A320-214,A6,United Arab Emirates
8965d6,A6-FKK,Boeing 737-8,A6,United Arab Emirates
8964d2,A6-FMC,Boeing 737-8,A6,United Arab Emirates
896191,A6-EER,Airbus A380-861,A6,United Arab Emirates
896538,A6-BNA,Boeing 787-9,A6,United Arab Emirates
8963b1,A6-FEO,Boeing 737-8KN,A6,United Arab Emirates
896555,A6-FMO,Boeing 737-8,A6,United Arab Emirates
896335,A6-FED,Boeing 737-8KN,A6,United Arab Emirates
8963ba,A6-FEX,Boeing 737-8KN,A6,United Arab Emirates
8965d1,A6-FKF,Boeing 737-8,A6,United Arab Emirates
896533,A6-FML,Boeing 737-8,A6,United Arab Emirates
8965ff,A6-ANC,Airbus A320-214,A6,United Arab Emirates
8963b6,A6-FET,Boeing 737-8KN,A6,United Arab Emirates
896378,A6-FEG,Boeing 737-8KN,A6,United Arab Emirates
896401,A6-AOB,Airbus A320-214,A6,United Arab Emirates
8960f2,A6-EDQ,Airbus A380-861,A6,United Arab Emirates
8963af,A6-FEM,Boeing 737-8KN,A6,United Arab Emirates
8965b1,A6-FMU,Boeing 737-8,A6,United Arab Emirates
896601,A6-ANE,Airbus A320-214,A6,United Arab Emirates
896586,A6-AUB,Airbus A320-214,A6,United Arab Emirates
89637b,A6-FEJ,Boeing 737-8KN,A6,United Arab Emirates
896477,A6-EUM,Airbus A380-842,A6,United Arab Emirates
896334,A6-FEC,Boeing 737-8KN,A6,United Arab Emirates
8964d4,A6-FME,Boeing 737-8,A6,United Arab Emirates
89610d,A6-ECF,Boeing 777-31HER,A6,United Arab Emirates
8962d1,A6-ANB,Airbus A320-214,A6,United Arab Emirates
8965cc,A6-FKA,Boeing 737-8,A6,United Arab Emirates
896376,A6-FEE,Boeing 737-8KN,A6,United Arab Emirates
8963bc,A6-FEZ,Boeing 737-8KN,A6,United Arab Emirates
8965b2,A6-FMV,Boeing 737-8,A6,United Arab Emirates
896585,A6-AUA,Airbus A320-214,A6,United Arab Emirates
89642d,A6-AOJ,Airbus A320-214,A6,United Arab Emirates
8963b4,A6-FER,Boeing 737-8KN,A6,United Arab Emirates
8963b5,A6-FES,Boeing 737-8KN,A6,United Arab Emirates
89642e,A6-AOI,Airbus A320-214,A6,United Arab Emirates
8965b3,A6-FMW,Boeing 737-8,A6,United Arab Emirates
8963ad,A6-FEK,Boeing 737-8KN,A6,United Arab Emirates
8963bb,A6-FEY,Boeing 737-8KN,A6,United Arab Emirates
8963b9,A6-FEW,Boeing 737-8KN,A6,United Arab Emirates
8965d2,A6-FKG,Boeing 737-8,A6,United Arab Emirates
896530,A6-FMJ,Boeing 737-8,A6,United Arab Emirates
896434,A6-AOK,Airbus A320-214,A6,United Arab Emirates
8964cf,A6-MAX,Boeing 737-8,A6,United Arab Emirates
8964fa,A6-BLU,Boeing 787-9,A6,United Arab Emirates
8965b4,A6-FMX,Boeing 737-8,A6,United Arab Emirates
8963b2,A6-FEP,Boeing 737-8KN,A6,United Arab Emirates
896556,A6-FMN,Boeing 737-8,A6,United Arab Emirates
896413,A6-AOH,Airbus A320-214,A6,United Arab Emirates
8965ce,A6-FKC,Boeing 737-8,A6,United Arab Emirates
8965d5,A6-FKJ,Boeing 737-8,A6,United Arab Emirates
8963c9,A6-ANY,Airbus A320-214,A6,United Arab Emirates
8965d4,A6-FKI,Boeing 737-8,A6,United Arab Emirates
89611f,A6-ECX,Boeing 777-31HER,A6,United Arab Emirates
896465,A6-BLG,Boeing 787-9,A6,United Arab Emirates
8965ee,A6-AUE,Airbus A320-214,A6,United Arab Emirates
896557,A6-FMP,Boeing 737-8,A6,United Arab Emirates
8963b3,A6-FEQ,Boeing 737-8KN,A6,United Arab Emirates
4bd150,TC-TJP,Boeing 737-8BK,TC,Turkey
4bb87a,TC-NCZ,Airbus A320-251N,TC,Turkey
4bc841,TC-RBA,Airbus A321-251NX,TC,Turkey
4b8de8,TC-COH,Boeing 737-8EH,TC,Turkey
4ba9ef,TC-JOO,Airbus A330-223F,TC,Turkey
4bb856,TC-NBV,Airbus A320-251N,TC,Turkey
4ba8c8,TC-JFH,Boeing 737-8F2,TC,Turkey
4bb876,TC-NCV,Airbus A320-251N,TC,Turkey
4bb564,TC-MKD,Boeing 737-8,TC,Turkey
4baa44,TC-JRD,Airbus A321-231,TC,Turkey
4bb85a,TC-NBZ,Airbus A320-251N,TC,Turkey
4ba8d2,TC-JFR,Boeing 737-8F2,TC,Turkey
4baa45,TC-JRE,Airbus A321-231,TC,Turkey
4baa53,TC-JRS,Airbus A321-231,TC,Turkey
4bb84f,TC-NBO,Airbus A320-251N,TC,Turkey
4ba8cb,TC-JFK,Boeing 737-8F2,TC,Turkey
4baa49,TC-JRI,Airbus A321-231,TC,Turkey
4bd184,TC-TLD,Boeing 737-4Q8,TC,Turkey
4ba9c1,TC-JNA,Airbus A330-203,TC,Turkey
4bb870,TC-NCP,Airbus A320-251N,TC,Turkey
4ba8f9,TC-JGY,Boeing 737-8F2,TC,Turkey
4bb866,TC-NCF,Airbus A320-251N,TC,Turkey
4bb562,TC-MKB,Boeing 737-8,TC,Turkey
4bb84a,TC-NBJ,Airbus A320-251N,TC,Turkey
4ba948,TC-JJH,Boeing 777-3F2ER,TC,Turkey
4baa62,TC-JSB,Airbus A321-231,TC,Turkey
4bc847,TC-RBG,Airbus A321-251NX,TC,Turkey
4b9e44,TC-GRD,Airbus A321-231,TC,Turkey
4baa4e,TC-JRN,Airbus A321-231,TC,Turkey
4ba904,TC-JHD,Boeing 737-8F2,TC,Turkey
4baa4d,TC-JRM,Airbus A321-231,TC,Turkey
4ba945,TC-JJE,Boeing 777-3F2ER,TC,Turkey
4b9e45,TC-GRE,Airbus A321-253NX,TC,Turkey
4ba8f4,TC-JGT,Boeing 737-8F2,TC,Turkey
4b850c,TC-AHL,Gulfstream IV-SP,TC,Turkey
4ba8d4,TC-JFT,Boeing 737-8F2,TC,Turkey
4ba949,TC-JJI,Boeing 777-3F2ER,TC,Turkey
4bb563,TC-MKC,Boeing 737-8,TC,Turkey
4bb84c,TC-NBL,Airbus A320-251N,TC,Turkey
4bb864,TC-NCD,Airbus A320-251N,TC,Turkey
4bb872,TC-NCR,Airbus A320-251N,TC,Turkey
4b906c,TC-DCL,Airbus A320-214,TC,Turkey
4bb852,TC-NBR,Airbus A320-251N,TC,Turkey
4bd181,TC-TLA,Boeing 737-4Q8,TC,Turkey
4ba946,TC-JJF,Boeing 777-3F2ER,TC,Turkey
4bc853,TC-RBS,Airbus A321-251NX,TC,Turkey
4bd154,TC-TJT,Boeing 737-8HC,TC,Turkey
4b9065,TC-DCE,Airbus A320-214,TC,Turkey
4bd155,TC-TJU,Boeing 737-8HX,TC,Turkey
4baa61,TC-JSA,Airbus A321-231,TC,Turkey
4ba8f6,TC-JGV,Boeing 737-8F2,TC,Turkey
4bb86b,TC-NCK,Airbus A320-251N,TC,Turkey
4ba947,TC-JJG,Boeing 777-3F2ER,TC,Turkey
4b9069,TC-DCI,Airbus A320-216,TC,Turkey
4bb873,TC-NCS,Airbus A320-251N,TC,Turkey
4baa41,TC-JRA,Airbus A321-231,TC,Turkey
4bb854,TC-NBT,Airbus A320-251N,TC,Turkey
4ba9c2,TC-JNB,Airbus A330-203,TC,Turkey
4baa50,TC-JRP,Airbus A321-231,TC,Turkey
4bb566,TC-MKF,Boeing 737-8,TC,Turkey
4bb874,TC-NCT,Airbus A320-251N,TC,Turkey
4b906d,TC-DCM,Airbus A320-214,TC,Turkey
4bb875,TC-NCU,Airbus A320-251N,TC,Turkey
4bb863,TC-NCC,Airbus A320-251N,TC,Turkey
4ba9cd,TC-JNM,Airbus A330-343E,TC,Turkey
4bb859,TC-NBY,Airbus A320-251N,TC,Turkey
4bb879,TC-NCY,Airbus A320-251N,TC,Turkey
4ba9c3,TC-JNC,Airbus A330-203,TC,Turkey
4bc842,TC-RBB,Airbus A321-251NX,TC,Turkey
4bb86d,TC-NCM,Airbus A320-251N,TC,Turkey
4bb855,TC-NBU,Airbus A320-251N,TC,Turkey
51009c,EW-457PA,Boeing 737-800WL,EW,Belarus
5100fc,EW-514PO,Embraer 190-200LR-195LR,EW,Belarus
5100fb,EW-513PO,Embraer 190-200LR-195LR,EW,Belarus
51009b,EW-456PA,Boeing 737-800WL,EW,Belarus
51007f,EW-399PO,Embraer 190-200LR-195LR,EW,Belarus
5100e9,EW-502LL,Pilatus PC-12/47E,EW,Belarus
510115,EW-527PA,Boeing 737-82R,EW,Belarus
51012d,EW-544PA,Boeing 737-8K5,EW,Belarus
510116,EW-528PA,Boeing 737-8,EW,Belarus
510043,EW-254PA,Boeing 737-3Q8,EW,Belarus
510080,EW-400PO,Embraer 190-200LR-195LR,EW,Belarus
507c41,UK32018,Airbus A320-214,UK,Uzbekistan
507c3a,UK32011,Airbus A320-214,UK,Uzbekistan
507c61,UK32031,Airbus A320-214,UK,Uzbekistan
507c3f,UK32016,Airbus A320-214,UK,Uzbekistan
507c49,UK67006,Boeing 767-33PER,UK,Uzbekistan
507c3e,UK32015,Airbus A320-214,UK,Uzbekistan
507c45,UK67004,Boeing 767-33PER,UK,Uzbekistan
507c44,UK67003,Boeing 767-33PER,UK,Uzbekistan
507c3d,UK32014,Airbus A320-214,UK,Uzbekistan
507c4c,UK78701,Boeing 787-8,UK,Uzbekistan
507c48,UK67005,Boeing 767-33PER,UK,Uzbekistan
507c38,UK67001,Boeing 767-33PER,UK,Uzbekistan
507c55,UK78705,Boeing 787-8,UK,Uzbekistan
507c59,UK78706,Boeing 787-8,UK,Uzbekistan
507c54,UK78704,Boeing 787-8,UK,Uzbekistan
507c3b,UK32012,Airbus A320-214,UK,Uzbekistan
78122f,B-8862,Airbus A330-343E,B,China
78076e,B-2088,Boeing 777-39LER,B,China
781094,B-8678,Airbus A330-343E,B,China
78139f,B-1096,Airbus A330-343E,B,China
7808cb,B-2033,Boeing 777-39LER,B,China
781364,B-1065,Airbus A330-343E,B,China
7816bd,B-308P,Airbus A330-243F,B,China
7810fb,B-8959,Airbus A330-243,B,China
780e2e,B-8015,Airbus A330-343,B,China
7808cc,B-2035,Boeing 777-39LER,B,China
7809ef,B-5923,Airbus A330-343E,B,China
780bf8,B-2047,Boeing 777-39LER,B,China
780bb9,B-2098,Boeing 777-FFT,B,China
78076d,B-2087,Boeing 777-39LER,B,China
780094,B-6095,Airbus A330-343X,B,China
781335,B-1041,Airbus A330-343E,B,China
78147a,B-300U,Airbus A330-343E,B,China
78076b,B-2085,Boeing 777-39LER,B,China
781590,B-304K,Airbus A330-343,B,China
780c5b,B-2091,Boeing 777-FFT,B,China
780b2a,B-8271,Gulfstream Aerospace GIV-X (G450),B,China
781230,B-8863,Airbus A330-343E,B,China
7816a1,B-308L,Airbus A330-243F,B,China
7806e1,B-6527,Airbus A330-343X,B,China
780d8f,B-2094,Boeing 777-FFT,B,China
780301,B-6085,Airbus A330-343X,B,China
7810c6,B-8776,Airbus A330-243,B,China
781479,B-300V,Airbus A330-343E,B,China
780970,B-2036,Boeing 777-39LER,B,China
781273,B-1340,Boeing 747-4HAERF,B,China
781463,B-300Q,Airbus A330-343E,B,China
780b69,B-5929,Airbus A330-343E,B,China
781540,B-303D,Airbus A330-343E,B,China
780bb6,B-2095,Boeing 777-FFT,B,China
781cde,B-221F,Boeing 767-33AERSF,B,China
780022,B-2089,Boeing 777-39LER,B,China
7811fd,B-8596,Airbus A330-243,B,China
78086c,B-2031,Boeing 777-39LER,B,China
780ef8,B-8287,Airbus A330-343E,B,China
780c9e,B-2006,Boeing 777-39LER,B,China
683277,UP-EM018,Embraer ERJ 135BJ Legacy 650,UP,Kazakhstan
