Plane,type,max_passengers
Bombardier BD-100-1A10 Challenger 300,PRIVATE, 9
Cessna 172S Skyhawk SP,PRIVATE, 4
Ilyushin Il-96-300,UNKNOWN,
Airbus A340-311,COMMERCIAL, 440
Raytheon Hawker 800XP,PRIVATE, 8
SOCATA TBM 940,PRIVATE, 6
Boeing 737-8MA,COMMERCIAL, 189
Yakovlev Yak-42D,COMMERCIAL, 120
Dassault Falcon 8X,PRIVATE, 19
Kazan Ansat,HELICOPTER, UNKNOWN
Gulfstream Aerospace GIV-X (G450),PRIVATE, Unknown
Gulfstream IV-SP,PRIVATE, 19
Embraer 190-100AR,COMMERCIAL, 114
Pilatus PC-12/47E,PRIVATE, 9
Cessna 750 Citation X,PRIVATE, 12
Boeing 737-3L9,COMMERCIAL, 149
Ilyushin Il-76T,MILITARY, UNKNOWN
Boeing 737-8B6,COMMERCIAL, 162
Airbus A380-842,COMMERCIAL, 853
Bell 505 JetRanger X,HELICOPTER, UNKNOWN
Boeing 787-8,COMMERCIAL, 242
Raytheon Hawker 850XP,PRIVATE, 9
Cessna 500 Citation I,PRIVATE, 6
Embraer Legacy 600,PRIVATE, 13
Bombardier Challenger 605,PRIVATE, 12
Tupolev Tu-204-300A,COMMERCIAL, 210
Boeing 737-8ZS,COMMERCIAL, 189
Sukhoi SuperJet 95-100LR,COMMERCIAL, 108
Tupolev Tu-134AK,COMMERCIAL, 72
Boeing 757-2K2,COMMERCIAL, 200
Learjet 60,PRIVATE, 7
Boeing 737-505,COMMERCIAL, 132
Beech G36 Bonanza,PRIVATE, 6
Boeing 737-45S,COMMERCIAL, 132
Boeing 767-33PER,COMMERCIAL, 375
Airbus A319-133CJ,PRIVATE, 160
Boeing 737-8FH,COMMERCIAL, 189
Boeing 737-76N,COMMERCIAL, 132
Bombardier Global Express XRS,PRIVATE, 19
Several Different Aircraft,UNKNOWN,
Airbus A340-313,COMMERCIAL, 440
Eurocopter AS350 B3e Ecureuil,HELICOPTER, UNKNOWN
Boeing 737-9,COMMERCIAL, 220
Embraer EMB 550 Legacy 500,PRIVATE, 12
Pilatus PC-24,PRIVATE, 11
Boeing 737-8HC,COMMERCIAL, 189
Antonov An-148-100EM,COMMERCIAL, UNKNOWN
Boeing 737-8HX,COMMERCIAL, 189
Boeing 737-8AS(F),COMMERCIAL, 189
Gulfstream Aerospace GVI (G650),PRIVATE, UNKNOWN
Tupolev Tu-204-100,COMMERCIAL, UNKNOWN
Bombardier Challenger 604,PRIVATE, 19
Airbus A319-115LR,COMMERCIAL, 156
Cessna 560XL Citation XLS+,PRIVATE, 9
Tupolev Tu-204-120C,COMMERCIAL, 214
Airbus A320-216,COMMERCIAL, 186
Antonov An-148-100A,COMMERCIAL, UNKNOWN
Boeing 737-33A,COMMERCIAL, 132
Boeing 747-4HAERF,COMMERCIAL, 660
Boeing 737-3K2,COMMERCIAL, 149
Cirrus SR22,PRIVATE, 4
Boeing 777-258ER,COMMERCIAL, 396
Boeing 737-85R,COMMERCIAL, 215
Gulfstream Aerospace GVI (G650ER),PRIVATE, 19
Gulfstream G650,PRIVATE, 19
Ilyushin IL-76TD,MILITARY, UNKNOWN
Bombardier BD-700-1A11 Global 5000,PRIVATE, UNKNOWN
Ilyushin Il-78M-90A,MILITARY, UNKNOWN
Beriev Be-200ES,UNKNOWN,
Boeing 737-8D6,COMMERCIAL, 189
British Aerospace BAe-125 Series 800A,PRIVATE, 6
Boeing 737-886,COMMERCIAL, 189
Bombardier BD-700-1A10 Global Express XRS,PRIVATE, Unknown
Ilyushin Il-62M,COMMERCIAL, 186
Tupolev Tu-214SR,MILITARY, UNKNOWN
Boeing 767-33AERSF,COMMERCIAL, UNKNOWN
Eurocopter EC130 T2,HELICOPTER, UNKNOWN
Tupolev Tu-214,COMMERCIAL, 210
Boeing 737-3Q8,COMMERCIAL, 149
Boeing 737-9GPER,COMMERCIAL, 215
Tupolev Tu-154B-2,COMMERCIAL, 180
Boeing 767-224ER,COMMERCIAL, 375
Airbus A321-251N,COMMERCIAL, 240
Bombardier Global 5000,PRIVATE, 19
Boeing 737-81D,COMMERCIAL, 189
Tupolev Tu-214PU-SBUS,MILITARY, UNKNOWN
Boeing 737-8AL,COMMERCIAL, 189
Airbus A318-112CJ Elite,PRIVATE, UNKNOWN
Dassault Falcon 900EX EASy,PRIVATE, 19
Boeing 737-8S3,COMMERCIAL, 189
Boeing 757-28A,COMMERCIAL, 239
Gulfstream Aerospace G-IV-SP,PRIVATE, 19
Airbus A330-223,COMMERCIAL, 440
Tupolev Tu-214VPU,MILITARY, UNKNOWN
