icao,tail,plane
152c29,RA-76841,Ilyushin Il-76TD
1d3346,RF-78662,Ilyushin Il-76MD-90A
151dae,RA-73134,Boeing 777-3M0ER
7810fb,B-8959,Airbus A330-243
4bb84f,TC-NBO,Airbus A320-251N
600853,4K-AZ83,Airbus A320-214
151e52,RA-73298,Boeing 737-8FZ
155c2f,RA-89135,Sukhoi SuperJet 100-95B
151e2b,RA-73259,Boeing 737-33R
8965d6,A6-FKK,Boeing 737-8
140aef,RA-02799,Raytheon 390 Premier 1A
151e29,RA-73257,Boeing 737-8K5
151df5,RA-73205,Airbus A319-111
151d83,RA-73091,Boeing 737-8GU
780e2e,B-8015,Airbus A330-343
151e7e,RA-73342,Boeing 777-35EER
140b2a,RA-02858,Embraer ERJ 135BJ Legacy 600
151fee,RA-73710,Airbus A321-211
152021,RA-73761,Airbus A320-214
151ef1,RA-73457,Airbus A320-271N
151e87,RA-73351,Boeing 757-223SF
152037,RA-73783,Airbus A330-343E
151fdc,RA-73692,Airbus A320-214
7808cc,B-2035,Boeing 777-39LER
151e68,RA-73320,Airbus A320-232CJ Prestige
8964d2,A6-FMC,Boeing 737-8
151f16,RA-73494,Boeing 737-8KN
14f11f,RA-61727,Antonov An-148-100E
150661,RA-67169,Canadair CL-600-2B16 Challenger 650
89409e,A9C-NA,Airbus A321-253NX
155c40,89152,Sukhoi Superjet 100-95B
151d7a,RA-73082,Boeing 767-224
7335c6,EP-MNF,Airbus A310-304
152060,RA-73824,Airbus A320-214
151ec6,RA-73414,Airbus A321-211
0d8469,YV3535,Airbus A340-642
151d95,RA-73109,Boeing 737-800WL
4ba8cb,TC-JFK,Boeing 737-8F2
151ed1,RA-73425,Airbus A320-271N
896191,A6-EER,Airbus A380-861
154ca3,RA-85155,Tupolev Tu-154M
7809ef,B-5923,Airbus A330-343E
151ffc,RA-73724,Airbus A321-211
151ff8,RA-73720,Airbus A321-211
155c37,RA-89143,Sukhoi SuperJet 100-95B
780bf8,B-2047,Boeing 777-39LER
151e4c,RA-73292,Boeing 777-312
1418d8,RA-06360,Robinson R66
70612c,9K-CBE,Airbus A320-251N
4baa49,TC-JRI,Airbus A321-231
152040,RA-73792,Airbus A321-211
141ea6,RA-07846,SOCATA TBM 910
155c60,RA-89184,Sukhoi SuperJet 100-95B
151f36,RA-73526,Bombardier BD-700-1A10 Global 6000
150641,RA-67137,Bombardier BD-100-1A10 Challenger 350
151e1d,RA-73245,Boeing 737-800WL
151e09,RA-73225,Boeing 737-800WL
151dd5,RA-73173,Airbus A320-214
4bd184,TC-TLD,Boeing 737-4Q8
155bca,RA-89034,Sukhoi SuperJet 100-95-LR
152a4b,RA-76363,Ilyushin Il-76TD
151fbb,RA-73659,Boeing 737-89P
010147,SU-GEA,Boeing 737-866
151fb9,RA-73657,Boeing 737-8JP
4c01ea,YU-APK,Airbus A319-132
780bb9,B-2098,Boeing 777-FFT
151e0b,RA-73227,Boeing 737-800WL
150657,RA-67159,Canadair CL-600-2B19 Regional Jet CRJ-200ER
78076d,B-2087,Boeing 777-39LER
896538,A6-BNA,Boeing 787-9
151da2,RA-73122,Boeing 737-8LJ
1500c5,RA-65733,Tupolev Tu-134B-3
157716,RA-96022,Ilyushin Il-96-300PU(M1)
152001,RA-73729,Airbus A321-211
151ee7,RA-73447,Boeing 737-83N
155c21,RA-89121,Sukhoi SuperJet 100-95B
142328,RA-09000,Dassault Falcon 900B
151e5e,RA-73310,Airbus A321-231
142580,RA-09600,Dassault Falcon 900EX
151d8d,RA-73101,Boeing 737-800WL
151dfb,RA-73211,Boeing 737-800WL
150694,RA-67220,Canadair CL-600-2B19 Challenger 850
15207a,RA-73850,Airbus A330-302
14fa0a,RA-64010,Tupolev Tu-204
155c0f,RA-89103,Sukhoi SuperJet 100-95B
151e72,RA-73330,Boeing 777-21HER
151dce,RA-73166,Airbus A321-211
8963b1,A6-FEO,Boeing 737-8KN
5100fb,EW-513PO,Embraer 190-200LR-195LR
15202f,RA-73775,Airbus A320-214
155bd1,RA-89041,Sukhoi SuperJet 100-95B
4ba9c1,TC-JNA,Airbus A330-203
15063a,RA-67130,Bombardier BD-100-1A10 Challenger 350
151e64,RA-73316,Boeing 737-82R
151db8,RA-73144,Boeing 777-3M0ER
6830bb,UP-CS301,Cessna 525B CitationJet CJ3
51009b,EW-456PA,Boeing 737-800WL
151dbc,RA-73148,Boeing 777-3M0ER
780094,B-6095,Airbus A330-343X
155be7,RA-89063,Sukhoi SuperJet 100-95B
601848,EZ-F428,Ilyushin Il-76TD
151d76,RA-73078,Boeing 767-3Q8ER
151e33,RA-73267,Boeing 737-7CT
896555,A6-FMO,Boeing 737-8
151d9b,RA-73115,Boeing 737-8LJ
