icao,tail,plane
155c08,RA-89096,Sukhoi SuperJet 100-95LR
780d8f,B-2094,Boeing 777-FFT
140629,RA-01577,Pilatus PC-24
8963b4,A6-FER,Boeing 737-8KN
151e61,RA-73313,Boeing 737-82R
0101b6,SU-GEF,Boeing 737-800WL
155c1e,RA-89118,Sukhoi SuperJet 100-95B
140b35,RA-02869,Embraer 170-100SU
151ef8,RA-73464,Airbus A320-271N
4bc853,TC-RBS,Airbus A321-251NX
155be2,RA-89058,Sukhoi SuperJet 100-95B
151fd1,RA-73681,Airbus A319-114
040048,ET-AOR,Boeing 787-8
734e6c,EP-SSL,Airbus A319-111
4bd154,TC-TJT,Boeing 737-8HC
151d73,RA-73075,Boeing 757-2Q8
152069,RA-73833,Airbus A320-214
15206b,RA-73835,Airbus A320-214
72866d,YI-ASM,Boeing 737-8
151ecd,RA-73421,Airbus A320-214
51408c,4L-GTI,Boeing 737-7CT
140668,RA-01640,Bell 429 GlobalRanger
15206c,RA-73836,Airbus A321-251NX
010250,SU-TCL,Airbus A321-231
151d9f,RA-73119,Boeing 737-8LJ
4b9065,TC-DCE,Airbus A320-214
14f115,RA-61717,Antonov An-148-100EM
780301,B-6085,Airbus A330-343X
4bd155,TC-TJU,Boeing 737-8HX
151e37,RA-73271,Airbus A321-231
4baa61,TC-JSA,Airbus A321-231
151d72,RA-73074,Boeing 757-2Q8
60111c,EX-32014,Airbus A320-214
142592,RA-09618,Dassault Falcon 7X
152068,RA-73832,Airbus A320-214
155be3,RA-89059,Sukhoi SuperJet 100-95B
151efb,RA-73467,Boeing 737-8AS(F)
15203d,RA-73789,Airbus A330-343E
4ba8f6,TC-JGV,Boeing 737-8F2
154c32,RA-85042,Tupolev Tu-154M
151e60,RA-73312,Boeing 737-8AS
1427dd,RA-10205,Gulfstream Aerospace GVI (G650)
155c1d,RA-89117,Sukhoi SuperJet 100-95B
151ef9,RA-73465,Airbus A320-271N
507c44,UK67003,Boeing 767-33PER
15202b,RA-73771,Airbus A320-214
4bb86b,TC-NCK,Airbus A320-251N
8963b5,A6-FES,Boeing 737-8KN
14fa0e,RA-64014,Tupolev Tu-204-100
600031,EK-FOB,Airbus A320-233
155c0b,RA-89099,Sukhoi SuperJet 100-95B
152029,RA-73769,Airbus A320-214
150690,RA-67216,Bombardier Challenger 604
151ebc,RA-73404,Airbus A320-214
151dff,RA-73215,Airbus A319-115LR
150805,RA-67589,Cessna 560XL Citation XLS+
151e21,RA-73249,Boeing 737-800WL
600be9,,-
142584,RA-09604,Dassault Falcon 7X
151e5a,RA-73306,Boeing 737-800WL
155bf9,RA-89081,Sukhoi SuperJet 100-95LR
155c25,RA-89125,Sukhoi SuperJet 100-95B
152005,RA-73733,Airbus A320-251N
73054a,EP-AJJ,Airbus A320-212
151da6,RA-73126,Boeing 737-8LJ
157712,RA-96018,Ilyushin Il-96-300
151e0f,RA-73231,Boeing 737-800WL
4ba947,TC-JJG,Boeing 777-3F2ER
89642e,A6-AOI,Airbus A320-214
4c01ee,YU-APO,Airbus A320-232
507c3d,UK32014,Airbus A320-214
7810c6,B-8776,Airbus A330-243
151dd1,RA-73169,Airbus A320-214
142382,RA-09090,Dassault Falcon 7X
09a055,C5-SUV,Embraer ERJ 135BJ Legacy 650
155c64,RA-89188,Sukhoi SuperJet 100-95B
152044,RA-73796,Airbus A321-211
155bbc,RA-89020,Sukhoi SuperJet 100-95B
781479,B-300V,Airbus A330-343E
60084f,4K-AZ79,Airbus A320-214
14fa34,RA-64052,Tupolev Tu-204-120C
155c33,RA-89139,Sukhoi SuperJet 100-95B
151ed5,RA-73429,Airbus A320-271N
8965b3,A6-FMW,Boeing 737-8
152013,RA-73747,Airbus A320-214
8963ad,A6-FEK,Boeing 737-8KN
152064,RA-73828,Airbus A320-214
151ec2,RA-73410,Boeing 737-8GJ
155c44,RA-89156,Sukhoi SuperJet 100-95B
151d7e,RA-73086,Boeing 737-8AS
151f12,RA-73490,Airbus A321-211
4b9069,TC-DCI,Airbus A320-216
14f11b,RA-61723,Antonov An-148-100A
ea000f,,-
151db0,RA-73136,Boeing 777-3M0ER
4bb873,TC-NCS,Airbus A320-251N
151ef5,RA-73461,Airbus A320-271N
155bed,RA-89069,Sukhoi SuperJet 100-95LR
152033,RA-73779,Airbus A320-214
780970,B-2036,Boeing 777-39LER
151dc6,RA-73158,Boeing 777-300ER
8963bb,A6-FEY,Boeing 737-8KN
152025,RA-73765,Airbus A320-214
507c4c,UK78701,Boeing 787-8
151fea,RA-73706,Airbus A321-211
155bdb,RA-89051,Sukhoi SuperJet 100-95B
6010ab,EX-37012,Boeing 737-33A
155bd9,RA-89049,Sukhoi SuperJet 100-95LR
155c05,RA-89093,Sukhoi SuperJet 100-95LR
504e64,ER-00006,Airbus A320-232
140b2e,RA-02862,Embraer 170-100SU
507c48,UK67005,Boeing 767-33PER
8963b9,A6-FEW,Boeing 737-8KN
151f53,RA-73555,Bombardier BD-700-1A10 Global 6000
140aeb,RA-02795,Embraer ERJ 135BJ Legacy 600
1407cd,RA-01997,AgustaWestland AW139
151df1,RA-73201,Airbus A319-111
151d87,RA-73095,Boeing 737-8LJ
8965d2,A6-FKG,Boeing 737-8
152072,RA-73842,Airbus A321-231
14258c,RA-09612,Dassault Falcon 8X
151e2f,RA-73263,Boeing 737-76N
140ae9,RA-02793,Raytheon Hawker 800XP
781273,B-1340,Boeing 747-4HAERF
155c2b,RA-89131,Sukhoi SuperJet 100-95B
151e56,RA-73302,Boeing 737-800WL
896530,A6-FMJ,Boeing 737-8
151daa,RA-73130,Boeing 777-3M0ER
151eed,RA-73453,Airbus A320-271N
6010c5,EX-37015,Boeing 737-3K2
155c29,RA-89129,Sukhoi SuperJet 100-95B
155bf5,RA-89077,Sukhoi SuperJet 100-95LR
781463,B-300Q,Airbus A330-343E
151d44,RA-73028,Airbus A321-251NX
151e01,RA-73217,Airbus A320-214
151ddf,RA-73183,Airbus A320-214
155bc2,RA-89026,Sukhoi SuperJet 100-95B
ab6383,RA-07841,Cirrus SR22
15205e,RA-73822,Airbus A320-251N
151d52,RA-73042,Boeing 737-524
896434,A6-AOK,Airbus A320-214
155c6c,RA-89196,Sukhoi SuperJet 100-95LR
152048,RA-73800,Airbus A321-251NX
141e17,RA-07703,AgustaWestland AW139
151e17,RA-73239,Boeing 737-800WL
15064b,RA-67147,Bombardier Challenger 605
4baa41,TC-JRA,Airbus A321-231
8964cf,A6-MAX,Boeing 737-8
15009a,RA-65690,Tupolev Tu-134AK
738072,4X-ECB,Boeing 777-258ER
26002b,,-
151fc7,RA-73671,Boeing 737-8LP
15204c,RA-73804,Airbus A320-214
155c3d,RA-89149,Sukhoi SuperJet 100-95B
151ed9,RA-73433,Airbus A320-271N
8964fa,A6-BLU,Boeing 787-9
780b69,B-5929,Airbus A330-343E
1506a7,RA-67239,Canadair CL-600-2B19 Regional Jet CRJ-200ER
151edb,RA-73435,Airbus A320-271N
68332f,UP-EM024,Embraer ERJ 135BJ Legacy 650
15201d,RA-73757,Airbus A320-214
151ff0,RA-73712,Airbus A321-211
152014,RA-73748,Airbus A320-214
151ed2,RA-73426,Airbus A320-271N
8965b4,A6-FMX,Boeing 737-8
4bb854,TC-NBT,Airbus A320-251N
14fa33,RA-64051,Tupolev Tu-204-120C
155c34,RA-89140,Sukhoi SuperJet 100-95B
151d59,RA-73049,Boeing 737-524
152043,RA-73795,Airbus A321-211
14fc08,RA-64520,Tupolev Tu-214PU
151de0,RA-73184,Boeing 737-85R
141d5b,RA-07515,Eurocopter AS350 B3e Ecureuil
155c63,RA-89187,Sukhoi SuperJet 100-95B
152055,RA-73813,Airbus A320-232
151fba,RA-73658,Boeing 737-8Q8
151e0a,RA-73226,Boeing 737-800WL
150654,RA-67156,Canadair CL-600-2B19 Regional Jet CRJ-200ER
155bc9,RA-89033,Sukhoi SuperJet 100-95LR
507c38,UK67001,Boeing 767-33PER
152002,RA-73730,Airbus A320-251N
157715,RA-96021,Ilyushin Il-96-300PU(M1)
151da1,RA-73121,Boeing 737-8LJ
155c22,RA-89122,Sukhoi SuperJet 100-95B
142afd,RA-11005,Gulfstream Aerospace GVI (G650ER)
778827,YK-BAG,Airbus A320-212
151e26,RA-73254,Boeing 737-8AS
155c5b,RA-89179,Sukhoi SuperJet 100-95B
43be90,RA-73154,Airbus A350-941
152079,RA-73849,Airbus A330-302
151ebd,RA-73405,Airbus A320-214
151dfa,RA-73210,Airbus A319-114
140ae2,RA-02786,Embraer ERJ 135BJ Legacy 600
151e71,RA-73329,Boeing 777-21HER
1427ee,RA-10222,Gulfstream Aerospace GV-SP (G550)
155c0e,RA-89102,Sukhoi SuperJet 100-95B
4ba9c2,TC-JNB,Airbus A330-203
15202e,RA-73774,Airbus A320-214
151fe1,RA-73697,Boeing 777-300ER
8963b2,A6-FEP,Boeing 737-8KN
151dcf,RA-73167,Airbus A320-214
1427dc,RA-10204,Gulfstream G650
600866,4K-AZ102,Ilyushin IL-76TD
151f4e,RA-73550,Bombardier BD-700-1A10 Global 6000
15063b,RA-67131,Bombardier BD-700-1A11 Global 5000
781540,B-303D,Airbus A330-343E
151e67,RA-73319,Boeing 737-800WL
155c1c,RA-89116,Sukhoi SuperJet 100-95B
151e88,RA-73352,Boeing 757-223SF
152038,RA-73784,Airbus A330-343E
507c55,UK78705,Boeing 787-8
15203c,RA-73788,Airbus A330-343E
1f3395,78741,Ilyushin Il-78M-90A
155c18,RA-89112,Sukhoi SuperJet 100-95B
155be4,RA-89060,Sukhoi SuperJet 100-95B
151e30,RA-73264,Boeing 737-86N
14a5ac,RA-42412,Yakovlev Yak-42D
896556,A6-FMN,Boeing 737-8
147ffe,RF-32766,Beriev Be-200ES
151d75,RA-73077,Boeing 757-2Q8
896413,A6-AOH,Airbus A320-214
0a0074,7T-VKD,Boeing 737-8D6
151ecb,RA-73419,Airbus A320-214
738055,4X-EHF,Boeing 737-958ER
151f19,RA-73497,Boeing 737-8BK
140ad4,RA-02772,British Aerospace BAe-125 Series 800A
151d9a,RA-73114,Boeing 737-8LJ
151ff7,RA-73719,Airbus A321-211
01010b,SU-GDC,Boeing 737-866
15201c,RA-73756,Airbus A320-214
155c38,RA-89144,Sukhoi SuperJet 100-95B
1506a0,RA-67232,Canadair CL-600-2B19 Challenger 850
151ede,RA-73438,Airbus A321-211
010109,SU-GDA,Boeing 737-886
152018,RA-73752,Airbus A320-214
151f39,RA-73529,Bombardier BD-700-1A10 Global Express XRS
1551e0,RA-86496,Ilyushin Il-62M
15204d,RA-73805,Airbus A320-214
151fc0,RA-73664,Boeing 737-8ZS
151e10,RA-73232,Boeing 737-800WL
14fc04,RA-64516,Tupolev Tu-214SR
150658,RA-67160,Bombardier BD-700-1A10 Global 6000
706131,9K-CBJ,Airbus A320-251N
151dda,RA-73178,Airbus A321-211
14169a,RA-05786,Robinson R66 Turbine
152c2a,RA-76842,Ilyushin Il-76TD
151fb6,RA-73654,Boeing 737-86N
15205b,RA-73819,Airbus A320-214
780bb6,B-2095,Boeing 777-FFT
781cde,B-221F,Boeing 767-33AERSF
155bc5,RA-89029,Sukhoi SuperJet 100-95LR
151d43,RA-73027,Airbus A321-251NX
152059,RA-73817,Airbus A320-232
141d43,RA-07491,Eurocopter EC130 T2
14fc12,RA-64530,Tupolev Tu-214
14f124,RA-61732,Antonov An-148-100E
4baa50,TC-JRP,Airbus A321-231
151daf,RA-73135,Boeing 777-3M0ER
68327b,UP-EM019,Embraer ERJ 135BJ Legacy 600
151eec,RA-73452,Airbus A320-271N
1d3345,RF-78661,Ilyushin Il-76MD-90A
8965ce,A6-FKC,Boeing 737-8
510043,EW-254PA,Boeing 737-3Q8
683296,UP-B3730,Boeing 737-82R
155c2e,RA-89134,Sukhoi SuperJet 100-95B
151e51,RA-73297,Boeing 737-8LJ
157719,RA-96025,Ilyushin Il-96-300PU(M1)
600850,4K-AZ80,Airbus A320-214
151d6d,RA-73069,Boeing 737-45S
151e2a,RA-73258,Boeing 737-8K5
151d80,RA-73088,Boeing 737-8GU
4bb566,TC-MKF,Boeing 737-8
152075,RA-73845,Airbus A321-231
8965d5,A6-FKJ,Boeing 737-8
15521f,RA-86559,Ilyushin Il-62M
151d3c,RA-73532,Canadair CL-600-2B19 Challenger 850
151e7f,RA-73343,Boeing 737-9GPER
510080,EW-400PO,Embraer 190-200LR-195LR
155bde,RA-89054,Sukhoi SuperJet 100-95LR
151fef,RA-73711,Airbus A321-231
152022,RA-73762,Airbus A320-214
155be8,RA-89064,Sukhoi SuperJet 100-95B
155c14,RA-89108,Sukhoi SuperJet 100-95B
507c59,UK78706,Boeing 787-8
151db7,RA-73143,Boeing 777-3M0ER
4bb874,TC-NCT,Airbus A320-251N
152034,RA-73780,Airbus A320-214
151ef2,RA-73458,Airbus A320-271N
154e52,RA-85586,Tupolev Tu-154B-2
155c43,RA-89155,Sukhoi SuperJet 100-95B
151d7b,RA-73083,Boeing 767-224ER
151f15,RA-73493,Boeing 737-8KN
151d96,RA-73110,Boeing 737-800WL
151ec5,RA-73413,Airbus A321-211
15068f,RA-67215,Bombardier BD-700-1A10 Global Express XRS
152063,RA-73827,Airbus A320-214
4b906d,TC-DCM,Airbus A320-214
151d97,RA-73111,Boeing 737-800WL
151d78,RA-73080,Boeing 767-3Y0ER
152062,RA-73826,Airbus A320-214
155c42,RA-89154,Sukhoi SuperJet 100-95B
151d7c,RA-73084,Boeing 737-8AS
780022,B-2089,Boeing 777-39LER
151e3f,RA-73279,Boeing 777-312
151f14,RA-73492,Airbus A320-271N
151db6,RA-73142,Boeing 777-3M0ER
4bb875,TC-NCU,Airbus A320-251N
140aae,RA-02734,Raytheon Hawker 800XP
152035,RA-73781,Airbus A320-214
151ef3,RA-73459,Airbus A320-271N
155beb,RA-89067,Sukhoi SuperJet 100-95LR
155c15,RA-89109,Sukhoi SuperJet 100-95B
155be9,RA-89065,Sukhoi SuperJet 100-95B
8963c9,A6-ANY,Airbus A320-214
151e6a,RA-73322,Airbus A321-251N
4bb863,TC-NCC,Airbus A320-251N
155bdd,RA-89053,Sukhoi Superjet 100-95B
4ba9cd,TC-JNM,Airbus A330-343E
152023,RA-73763,Airbus A320-214
151df7,RA-73207,Airbus A320-214
151d81,RA-73089,Boeing 737-8GU
42446c,RA-73155,Airbus A350-941
152c07,RA-76807,Ilyushin Il-76TD
152074,RA-73844,Airbus A321-231
15069a,RA-67226,Bombardier Global 5000
8965d4,A6-FKI,Boeing 737-8
89611f,A6-ECX,Boeing 777-31HER
14fa2c,RA-64044,Tupolev Tu-204-300
151ee9,RA-73449,Airbus A320-271N
155c2d,RA-89133,Sukhoi SuperJet 100-95B
683297,UP-B3731,Boeing 737-82R
151e50,RA-73296,Boeing 737-81D
1416ba,RA-05818,Robinson R66 Turbine
140ab4,RA-02740,Embraer 190-100LR
151eeb,RA-73451,Airbus A320-271N
152058,RA-73816,Airbus A319-112
14fc13,RA-64531,Tupolev Tu-214PU-SBUS
14f125,RA-61733,Antonov An-148-100E
706130,9K-CBI,Airbus A320-251N
151fb7,RA-73655,Boeing 737-8AL
15205c,RA-73820,Airbus A320-251N
151d54,RA-73044,Boeing 737-524
151f3c,RA-73532,Canadair CL-600-2B19 Challenger 850
151f38,RA-73528,Bombardier BD-700-1A10 Global 6000
7811fd,B-8596,Airbus A330-243
151fc1,RA-73665,Boeing 737-8ZS
896465,A6-BLG,Boeing 787-9
600001,EK-YRB,Airbus A320-214
152019,RA-73753,Airbus A320-214
1520a0,RA-73888,Airbus A318-112CJ Elite
515313,EY-787,Boeing 737-8GJ
4bb859,TC-NBY,Airbus A320-251N
15770e,RA-96014,Ilyushin Il-96-300
151ff6,RA-73718,Airbus A321-211
15201b,RA-73755,Airbus A320-214
142330,RA-09008,Dassault Falcon 900EX EASy
151f80,RA-73600,Canadair CL-600-2B19 Challenger 850
1506a1,RA-67233,Canadair CL-600-2B19 Challenger 850
155c39,RA-89145,Sukhoi SuperJet 100-95B
151edd,RA-73437,Airbus A321-211
151ecc,RA-73420,Airbus A320-214
010256,SU-TCM,Airbus A321-231
8965ee,A6-AUE,Airbus A320-214
72866c,YI-ASL,Boeing 737-8
15206e,RA-73838,Airbus A321-251NX
151f18,RA-73496,Boeing 737-8S3
151e31,RA-73265,Boeing 737-86N
896557,A6-FMP,Boeing 737-8
78086c,B-2031,Boeing 777-39LER
780ef8,B-8287,Airbus A330-343E
1533f3,RA-78835,Ilyushin Il-76MD
151ec8,RA-73416,Airbus A321-211
151d74,RA-73076,Boeing 757-28A
4c01f2,YU-APS,Airbus A320-232
507c54,UK78704,Boeing 787-8
15203b,RA-73787,Airbus A330-343E
151e8b,RA-73355,Boeing 757-223SF
155be5,RA-89061,Sukhoi SuperJet 100-95B
155c19,RA-89113,Sukhoi SuperJet 100-95B
151dba,RA-73146,Boeing 777-300ER
1427d9,RA-10201,Gulfstream Aerospace G-IV-SP
734e6d,EP-SSM,Airbus A321-231
4bb879,TC-NCY,Airbus A320-251N
152039,RA-73785,Airbus A330-343E
4ba9c3,TC-JNC,Airbus A330-203
155bd3,RA-89043,Sukhoi SuperJet 100-95B
4bc842,TC-RBB,Airbus A321-251NX
15202d,RA-73773,Airbus A320-214
8963b3,A6-FEQ,Boeing 737-8KN
4bb86d,TC-NCM,Airbus A320-251N
151e70,RA-73328,Airbus A330-223
020072,CN-ROL,Boeing 737-8B6
155c0d,RA-89101,Sukhoi SuperJet 100-95B
141ebe,RA-07870,Pilatus PC-12/47E
151ebe,RA-73406,Airbus A320-214
151d8f,RA-73103,Boeing 737-800WL
151e27,RA-73255,Boeing 737-8AS
155c5c,RA-89180,Sukhoi SuperJet 100-95B
142582,RA-09602,Dassault Falcon 7X
155c23,RA-89123,Sukhoi SuperJet 100-95B
155bfd,RA-89085,Sukhoi SuperJet 100-95LR
140abc,RA-02748,Embraer ERJ 135BJ Legacy 650
6000a2,EK-SHA,Boeing 737-505
06a0b3,A7-BCO,Boeing 787-8
151da0,RA-73120,Boeing 737-800WL
683274,UP-B3727,Boeing 737-9
151d4e,RA-73038,Boeing 737-524
155bc8,RA-89032,Sukhoi SuperJet 100-95B
4c01ec,YU-APM,Airbus A319-132
152054,RA-73812,Airbus A320-214
507c3b,UK32012,Airbus A320-214
010145,SU-GDY,Boeing 737-866
155bcc,RA-89036,Sukhoi SuperJet 100-95LR
150643,RA-67139,Canadair CL-600-2B19 Regional Jet CRJ-200ER
151e1f,RA-73247,Boeing 737-800WL
14fc0b,RA-64523,Tupolev Tu-214VPU
155c62,RA-89186,Sukhoi SuperJet 100-95B
7335a4,EP-MMD,Airbus A340-313
152042,RA-73794,Airbus A321-211
14fc09,RA-64521,Tupolev Tu-214PU
780c9e,B-2006,Boeing 777-39LER
151de1,RA-73185,Boeing 737-8KN
155c35,RA-89141,Sukhoi SuperJet 100-95B
152015,RA-73749,Airbus A320-214
151ffa,RA-73722,Airbus A321-211
151ed3,RA-73427,Airbus A320-271N
4bb855,TC-NBU,Airbus A320-251N
