icao,tail,plane_model,reg_country,type,max_passengers
155c28,RA-89128,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c2c,RA-89132,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155bdc,RA-89052,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c12,RA-89106,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c32,RA-89138,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155bb9,RA-89017,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c65,RA-89189,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c24,RA-89124,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c0c,RA-89100,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155bd4,RA-89044,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c1e,RA-89118,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155be2,RA-89058,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155be3,RA-89059,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c1d,RA-89117,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c0b,RA-89099,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c25,RA-89125,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c64,RA-89188,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155bbc,RA-89020,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c33,RA-89139,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c44,RA-89156,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155bdb,RA-89051,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c2b,RA-89131,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c29,RA-89129,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155bc2,RA-89026,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c3d,RA-89149,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c34,RA-89140,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c63,RA-89187,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c22,RA-89122,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c5b,RA-89179,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c0e,RA-89102,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c1c,RA-89116,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c18,RA-89112,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155be4,RA-89060,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c38,RA-89144,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c2e,RA-89134,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155be8,RA-89064,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c14,RA-89108,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c43,RA-89155,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c42,RA-89154,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c15,RA-89109,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155be9,RA-89065,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c2d,RA-89133,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c39,RA-89145,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155be5,RA-89061,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c19,RA-89113,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155bd3,RA-89043,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c0d,RA-89101,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c5c,RA-89180,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c23,RA-89123,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155bc8,RA-89032,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c62,RA-89186,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c35,RA-89141,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
151e8a,RA-73354,Boeing 757-223SF,Russia,COMMERCIAL, 239
151e87,RA-73351,Boeing 757-223SF,Russia,COMMERCIAL, 239
151e88,RA-73352,Boeing 757-223SF,Russia,COMMERCIAL, 239
151e8b,RA-73355,Boeing 757-223SF,Russia,COMMERCIAL, 239
15203a,RA-73786,Airbus A330-343E,Russia,COMMERCIAL, 440
152037,RA-73783,Airbus A330-343E,Russia,COMMERCIAL, 440
151dc7,RA-73159,Airbus A330-343E,Russia,COMMERCIAL, 440
15203d,RA-73789,Airbus A330-343E,Russia,COMMERCIAL, 440
152038,RA-73784,Airbus A330-343E,Russia,COMMERCIAL, 440
15203c,RA-73788,Airbus A330-343E,Russia,COMMERCIAL, 440
15203b,RA-73787,Airbus A330-343E,Russia,COMMERCIAL, 440
152039,RA-73785,Airbus A330-343E,Russia,COMMERCIAL, 440
4ba9cd,TC-JNM,Airbus A330-343E,Turkey,COMMERCIAL, 440
78122f,B-8862,Airbus A330-343E,China,COMMERCIAL, 440
781094,B-8678,Airbus A330-343E,China,COMMERCIAL, 440
78139f,B-1096,Airbus A330-343E,China,COMMERCIAL, 440
781364,B-1065,Airbus A330-343E,China,COMMERCIAL, 440
7809ef,B-5923,Airbus A330-343E,China,COMMERCIAL, 440
781335,B-1041,Airbus A330-343E,China,COMMERCIAL, 440
78147a,B-300U,Airbus A330-343E,China,COMMERCIAL, 440
781230,B-8863,Airbus A330-343E,China,COMMERCIAL, 440
781479,B-300V,Airbus A330-343E,China,COMMERCIAL, 440
781463,B-300Q,Airbus A330-343E,China,COMMERCIAL, 440
